"Date","Region","Cases","Fatalities","Hospitalised","GeneralWards","ICU","CurrentHosp","CurrentGW","CurrentICU"
"2020-03-02","Baden-Wurttemberg",18,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Bayern",28,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Berlin",4,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Brandenburg",0,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Bremen",1,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Hamburg",2,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Hessen",12,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Mecklenburg-Vorpommern",0,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Niedersachsen",1,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Nordrhein-Westfalen",76,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Rheinland-Pfalz",2,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Saarland",0,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Sachsen",1,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Sachsen-Anhalt",0,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Schleswig-Holstein",2,0,"NA","NA","NA","NA","NA","NA"
"2020-03-02","Thuringen",1,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Baden-Wurttemberg",25,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Bayern",32,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Berlin",6,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Brandenburg",0,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Bremen",3,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Hamburg",2,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Hessen",12,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Mecklenburg-Vorpommern",4,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Niedersachsen",4,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Nordrhein-Westfalen",98,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Rheinland-Pfalz",6,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Saarland",0,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Sachsen",1,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Sachsen-Anhalt",0,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Schleswig-Holstein",3,0,"NA","NA","NA","NA","NA","NA"
"2020-03-03","Thuringen",1,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Baden-Wurttemberg",50,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Bayern",48,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Berlin",7,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Brandenburg",1,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Bremen",3,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Hamburg",3,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Hessen",12,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Mecklenburg-Vorpommern",4,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Niedersachsen",7,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Nordrhein-Westfalen",115,0,"NA","NA","NA","NA","NA","NA"
"2020-03-04","Rheinland-Pfalz",7,0,"NA","NA","NA","NA","NA","NA"
